"activity_id","institution_id","source_id","experiment_id","member_id","table_id","variable_id","grid_label","zstore","dcpp_init_year","version","use"
"ScenarioMIP","MIROC","MIROC6","ssp126","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp126/r1i1p1f1/Amon/tas/gn/v20190627/",NA,20190627,"all"
"ScenarioMIP","MIROC","MIROC6","ssp245","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp245/r1i1p1f1/Amon/tas/gn/v20190627/",NA,20190627,"all"
"ScenarioMIP","MIROC","MIROC6","ssp370","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MIROC/MIROC6/ssp370/r1i1p1f1/Amon/tas/gn/v20190627/",NA,20190627,"all"
"CMIP","MPI-M","MPI-ESM1-2-HR","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/Amon/tas/gn/v20190710/",NA,20190710,"all"
"ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/tas/gn/v20190710/",NA,20190710,"all"
"ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp245","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp245/r1i1p1f1/Amon/tas/gn/v20190710/",NA,20190710,"all"
"ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp370","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp370/r1i1p1f1/Amon/tas/gn/v20190710/",NA,20190710,"all"
"CMIP","MPI-M","MPI-ESM1-2-LR","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/historical/r1i1p1f1/Amon/tas/gn/v20190710/",NA,20190710,"all"
"ScenarioMIP","MPI-M","MPI-ESM1-2-LR","ssp126","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp126/r1i1p1f1/Amon/tas/gn/v20190710/",NA,20190710,"all"
"ScenarioMIP","MPI-M","MPI-ESM1-2-LR","ssp245","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r1i1p1f1/Amon/tas/gn/v20190710/",NA,20190710,"all"
"ScenarioMIP","MPI-M","MPI-ESM1-2-LR","ssp370","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp370/r1i1p1f1/Amon/tas/gn/v20190710/",NA,20190710,"all"
"DAMIP","MRI","MRI-ESM2-0","hist-nat","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/DAMIP/MRI/MRI-ESM2-0/hist-nat/r1i1p1f1/Amon/tas/gn/v20190320/",NA,20190320,"all"
"CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/Amon/tas/gn/v20190222/",NA,20190222,"all"
"ScenarioMIP","MRI","MRI-ESM2-0","ssp126","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp126/r1i1p1f1/Amon/tas/gn/v20191108/",NA,20191108,"all"
"ScenarioMIP","MRI","MRI-ESM2-0","ssp245","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp245/r1i1p1f1/Amon/tas/gn/v20190222/",NA,20190222,"all"
"ScenarioMIP","MRI","MRI-ESM2-0","ssp370","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp370/r1i1p1f1/Amon/tas/gn/v20190222/",NA,20190222,"all"
"DAMIP","NCC","NorESM2-LM","hist-nat","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/DAMIP/NCC/NorESM2-LM/hist-nat/r1i1p1f1/Amon/tas/gn/v20190920/",NA,20190920,"all"
"CMIP","NCC","NorESM2-LM","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/NCC/NorESM2-LM/historical/r1i1p1f1/Amon/tas/gn/v20190815/",NA,20190815,"all"
"ScenarioMIP","NCC","NorESM2-LM","ssp126","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp126/r1i1p1f1/Amon/tas/gn/v20191108/",NA,20191108,"all"
"ScenarioMIP","NCC","NorESM2-LM","ssp245","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/tas/gn/v20191108/",NA,20191108,"all"
"ScenarioMIP","NCC","NorESM2-LM","ssp370","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp370/r1i1p1f1/Amon/tas/gn/v20191108/",NA,20191108,"all"
